,calendar_year,city,state,amount_awarded,case_outcome,summary_allegations,Claim_or_lawsuit,Amount_demanded
0,2010.0,Philadelphia,PA,3871.0,,,,
1,2010.0,Philadelphia,PA,45000.0,,,,
2,2010.0,Philadelphia,PA,25000.0,,,,
3,2010.0,Philadelphia,PA,750.0,,,,
4,2010.0,Philadelphia,PA,12500.0,,,,
5,2010.0,Philadelphia,PA,30000.0,,,,
6,2010.0,Philadelphia,PA,1500.0,,,,
7,2010.0,Philadelphia,PA,275000.0,,,,
8,2010.0,Philadelphia,PA,20000.0,,,,
9,2010.0,Philadelphia,PA,25000.0,,,,
10,2010.0,Philadelphia,PA,17500.0,,,,
11,2010.0,Philadelphia,PA,40000.0,,,,
12,2010.0,Philadelphia,PA,7500.0,,,,
13,2010.0,Philadelphia,PA,1125.0,,,,
14,2010.0,Philadelphia,PA,16500.0,,,,
15,2010.0,Philadelphia,PA,35000.0,,,,
16,2010.0,Philadelphia,PA,17700.0,,,,
17,2010.0,Philadelphia,PA,102000.0,,,,
18,2010.0,Philadelphia,PA,35000.0,,,,
19,2010.0,Philadelphia,PA,20000.0,,,,
20,2010.0,Philadelphia,PA,10000.0,,,,
21,2010.0,Philadelphia,PA,2000.0,,,,
22,2010.0,Philadelphia,PA,33500.0,,,,
23,2010.0,Philadelphia,PA,65000.0,,,,
24,2010.0,Philadelphia,PA,25000.0,,,,
25,2010.0,Philadelphia,PA,7500.0,,,,
26,2010.0,Philadelphia,PA,32500.0,,,,
27,2010.0,Philadelphia,PA,1100000.0,,,,
28,2010.0,Philadelphia,PA,50000.0,,,,
29,2010.0,Philadelphia,PA,40000.0,,,,
30,2010.0,Philadelphia,PA,4000.0,,,,
31,2010.0,Philadelphia,PA,12000.0,,,,
32,2010.0,Philadelphia,PA,12500.0,,,,
33,2010.0,Philadelphia,PA,575000.0,,,,
34,2010.0,Philadelphia,PA,75000.0,,,,
35,2010.0,Philadelphia,PA,62500.0,,,,
36,2010.0,Philadelphia,PA,7500.0,,,,
37,2010.0,Philadelphia,PA,7500.0,,,,
38,2010.0,Philadelphia,PA,287500.0,,,,
39,2010.0,Philadelphia,PA,35000.0,,,,
40,2010.0,Philadelphia,PA,15000.0,,,,
41,2010.0,Philadelphia,PA,75000.0,,,,
42,2010.0,Philadelphia,PA,25000.0,,,,
